DATE,CAFRES9POP
1970-01-01,413.329
1971-01-01,424.700
1972-01-01,431.900
1973-01-01,439.900
1974-01-01,449.900
1975-01-01,464.200
1976-01-01,477.200
1977-01-01,489.000
1978-01-01,497.600
1979-01-01,506.300
1980-01-01,514.621
1981-01-01,528.891
1982-01-01,541.500
1983-01-01,555.873
1984-01-01,572.091
1985-01-01,584.070
1986-01-01,593.621
1987-01-01,608.831
1988-01-01,627.658
1989-01-01,650.755
1990-01-01,672.302
1991-01-01,691.569
1992-01-01,710.263
1993-01-01,726.859
1994-01-01,739.835
1995-01-01,749.534
1996-01-01,761.409
1997-01-01,771.391
1998-01-01,778.615
1999-01-01,789.405
2000-01-01,801.331
2001-01-01,812.195
2002-01-01,828.051
2003-01-01,844.425
2004-01-01,856.960
2005-01-01,867.097
2006-01-01,877.406
2007-01-01,889.127
2008-01-01,902.311
2009-01-01,913.555
2010-01-01,932.011
2011-01-01,939.251
2012-01-01,944.779
2013-01-01,951.143
2014-01-01,960.072
2015-01-01,968.889
2016-01-01,976.231
2017-01-01,984.726
2018-01-01,991.298
2019-01-01,997.847
2020-01-01,1009.503
2021-01-01,1012.992
2022-01-01,1015.190
