Year,County,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,Count,
1999,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),5460,
2000,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),5360,
2001,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),5582,
2002,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),5785,
2003,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),5876,
2004,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),5811,
2005,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),5924,
2006,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),6062,
2007,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),5944,
2008,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),6025,
2009,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),6089,
2010,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),5991,
2011,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),6145,
2012,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),6263,
2013,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),6555,
2014,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),6395,
2015,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),6571,
2016,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),6693,
2017,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),7090,
2018,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),7120,
2019,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),7056,
2020,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),8790,
2021,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),9405,
2022,Fresno,Residence,Total Population,Total Population,ALL,All causes (total),8601,
